"","site_no","station_nm","huc_cd","site_tp_cd","dec_lat_va","dec_long_va","parm_cd_D","data_type_cd_D","stat_cd_D","srs_id_D","begin_date_D","end_date_D","count_nu_D","parm_cd_N","data_type_cd_N","stat_cd_N","srs_id_N","begin_date_N","end_date_N","count_nu_N","parm_cd_P","data_type_cd_P","stat_cd_P","srs_id_P","begin_date_P","end_date_P","count_nu_P"
"23","06803555","Salt Creek at Greenwood, Nebr.","10200203","ST",40.96555556,-96.4544444,"00060","uv",NA,1645423,1990-10-01,2019-10-31,10622,"00600","qw",NA,52450988,1971-07-27,1995-03-16,144,"00665","qw",NA,153049,1971-07-27,1995-03-16,148
"24","06805000","Salt Creek Near Ashland, Nebr.","10200203","ST",41.05166667,-96.3386111,"00060","dv","00003",1645423,1947-10-01,1969-09-29,8035,"00600","qw",NA,52450988,1971-09-30,2019-07-24,68,"00665","qw",NA,153049,1971-09-30,2019-07-24,68
"25","06805500","Platte River at Louisville, Nebr.","10200202","ST",41.01527778,-96.1577778,"00060","dv","00003",1645423,1953-06-01,2019-10-30,24213,"00600","qw",NA,52450988,1974-11-06,2019-08-28,586,"00665","qw",NA,153049,1974-11-06,2019-08-28,704
"26","06805500","Platte River at Louisville, Nebr.","10200202","ST",41.01527778,-96.1577778,"00060","uv",NA,1645423,1988-10-01,2019-10-31,11352,"00600","qw",NA,52450988,1974-11-06,2019-08-28,586,"00665","qw",NA,153049,1974-11-06,2019-08-28,704
"27","06775900","Dismal River near Thedford, Nebr.","10210002","ST",41.7786111,-100.5252778,"00060","dv","00003",1645423,1966-10-01,2019-10-30,17924,"00600","qw",NA,52450988,1967-06-13,2015-08-27,134,"00665","qw",NA,153049,1969-11-25,2015-08-27,181
"28","06775900","Dismal River near Thedford, Nebr.","10210002","ST",41.7786111,-100.5252778,"00060","uv",NA,1645423,1990-11-15,2019-10-31,10577,"00600","qw",NA,52450988,1967-06-13,2015-08-27,134,"00665","qw",NA,153049,1969-11-25,2015-08-27,181
"29","06783000","MUD CREEK NR BROKEN BOW, NE","10210005","ST",41.37430556,-99.5855,"00060","dv","00003",1645423,1949-07-01,1953-09-29,1552,"00600","qw",NA,52450988,1973-04-10,1978-09-28,63,"00665","qw",NA,153049,1973-04-10,1978-09-28,63
"30","06783500","MUD CREEK NEAR SWEETWATER, NE","10210005","ST",41.03805556,-98.9927778,"00060","dv","00003",1645423,1946-08-01,1995-02-21,17737,"00600","qw",NA,52450988,1978-10-19,1994-08-02,133,"00665","qw",NA,153049,1978-10-19,1994-08-02,135
"31","06783500","MUD CREEK NEAR SWEETWATER, NE","10210005","ST",41.03805556,-98.9927778,"00060","uv",NA,1645423,1991-04-28,1994-09-30,1251,"00600","qw",NA,52450988,1978-10-19,1994-08-02,133,"00665","qw",NA,153049,1978-10-19,1994-08-02,135
"32","06794000","Beaver Creek at Genoa, Nebr.","10210009","ST",41.4414021,-97.7347745,"00060","dv","00003",1645423,1940-10-01,2019-10-30,28884,"00600","qw",NA,52450988,1978-10-25,1989-09-08,132,"00665","qw",NA,153049,1972-08-29,1989-09-08,135
"33","06794000","Beaver Creek at Genoa, Nebr.","10210009","ST",41.4414021,-97.7347745,"00060","uv",NA,1645423,1990-10-01,2019-10-31,10622,"00600","qw",NA,52450988,1978-10-25,1989-09-08,132,"00665","qw",NA,153049,1972-08-29,1989-09-08,135
"34","06796973","ELKHORN RIVER NR ATKINSON, NE","10220001","ST",42.48602778,-98.9113333,"00060","dv","00003",1645423,1982-10-01,1992-09-29,3652,"00600","qw",NA,52450988,1982-10-07,1989-09-05,84,"00665","qw",NA,153049,1982-10-07,1989-09-05,84
"35","06796973","ELKHORN RIVER NR ATKINSON, NE","10220001","ST",42.48602778,-98.9113333,"00060","uv",NA,1645423,1990-10-01,1992-09-30,730,"00600","qw",NA,52450988,1982-10-07,1989-09-05,84,"00665","qw",NA,153049,1982-10-07,1989-09-05,84
"36","06799000","Elkhorn River at Norfolk, Nebr.","10220001","ST",42.00377778,-97.4260278,"00060","dv","00003",1645423,1896-08-01,2019-10-30,28775,"00600","qw",NA,52450988,1968-04-10,1994-08-02,135,"00665","qw",NA,153049,1978-10-10,1994-08-02,133
"37","06799000","Elkhorn River at Norfolk, Nebr.","10220001","ST",42.00377778,-97.4260278,"00060","qw",NA,1645423,1948-08-12,1973-05-28,178,"00600","qw",NA,52450988,1968-04-10,1994-08-02,135,"00665","qw",NA,153049,1978-10-10,1994-08-02,133
"38","06799000","Elkhorn River at Norfolk, Nebr.","10220001","ST",42.00377778,-97.4260278,"00060","uv",NA,1645423,1990-10-01,2019-10-31,10622,"00600","qw",NA,52450988,1968-04-10,1994-08-02,135,"00665","qw",NA,153049,1978-10-10,1994-08-02,133
"39","06799350","Elkhorn River at West Point, Nebr.","10220003","ST",41.8394441,-96.7275324,"00060","dv","00003",1645423,1972-10-01,2019-10-30,17196,"00600","qw",NA,52450988,1968-09-09,1992-09-14,108,"00665","qw",NA,153049,1980-08-12,1992-09-14,109
"40","06799350","Elkhorn River at West Point, Nebr.","10220003","ST",41.8394441,-96.7275324,"00060","uv",NA,1645423,1990-12-18,2019-10-31,10544,"00600","qw",NA,52450988,1968-09-09,1992-09-14,108,"00665","qw",NA,153049,1980-08-12,1992-09-14,109
"41","06799450","LOGAN CREEK AT PENDER NE","10220004","ST",42.11388889,-96.7016667,"00060","dv","00003",1645423,1965-10-01,1993-09-29,10226,"00600","qw",NA,52450988,1968-04-04,1989-09-07,197,"00665","qw",NA,153049,1973-05-02,1989-09-07,197
"42","06799450","LOGAN CREEK AT PENDER NE","10220004","ST",42.11388889,-96.7016667,"00060","qw",NA,1645423,1964-01-14,1974-09-18,137,"00600","qw",NA,52450988,1968-04-04,1989-09-07,197,"00665","qw",NA,153049,1973-05-02,1989-09-07,197
"43","06799450","LOGAN CREEK AT PENDER NE","10220004","ST",42.11388889,-96.7016667,"00060","uv",NA,1645423,1990-10-01,1993-09-30,1095,"00600","qw",NA,52450988,1968-04-04,1989-09-07,197,"00665","qw",NA,153049,1973-05-02,1989-09-07,197
"44","06800000","Maple Creek near Nickerson, Nebr.","10220003","ST",41.56116667,-96.5408333,"00060","dv","00003",1645423,1951-10-01,2019-10-30,24867,"00600","qw",NA,52450988,1968-09-09,2019-09-24,383,"00665","qw",NA,153049,1992-05-12,2019-09-24,492
"45","06800000","Maple Creek near Nickerson, Nebr.","10220003","ST",41.56116667,-96.5408333,"00060","uv",NA,1645423,1990-10-01,2019-10-31,10622,"00600","qw",NA,52450988,1968-09-09,2019-09-24,383,"00665","qw",NA,153049,1992-05-12,2019-09-24,492
"46","06800500","Elkhorn River at Waterloo, Nebr.","10220003","ST",41.2933333,-96.2838889,"00060","dv","00003",1645423,1899-10-01,2019-10-30,34050,"00600","qw",NA,52450988,1968-07-12,2019-09-17,439,"00665","qw",NA,153049,1970-03-05,2019-09-17,494
"47","06800500","Elkhorn River at Waterloo, Nebr.","10220003","ST",41.2933333,-96.2838889,"00060","qw",NA,1645423,1948-07-23,2018-02-14,140,"00600","qw",NA,52450988,1968-07-12,2019-09-17,439,"00665","qw",NA,153049,1970-03-05,2019-09-17,494
"48","06800500","Elkhorn River at Waterloo, Nebr.","10220003","ST",41.2933333,-96.2838889,"00060","uv",NA,1645423,1990-10-01,2019-10-31,10622,"00600","qw",NA,52450988,1968-07-12,2019-09-17,439,"00665","qw",NA,153049,1970-03-05,2019-09-17,494
"49","06486000","Missouri River at Sioux City, IA","10230001","ST",42.4858276,-96.4139184,"00060","dv","00003",1645423,1928-10-01,2019-10-30,30709,"00600","qw",NA,52450988,1974-01-29,2003-06-25,152,"00665","qw",NA,153049,1974-01-29,2012-08-22,159
